"choice","nonchoice","value","rt","pair","valence","iter","med","ord_sbj","not_cond1","not_cond2","dmed"
2,1,0,-0.202,2,1,96,"off",1,1,3,0
2,1,0,-0.671,1,1,97,"off",1,2,3,0
1,2,0,0.255,2,1,97,"off",1,1,3,0
1,2,1,0.321,1,2,98,"off",1,2,3,0
2,1,0,-0.229,3,1,98,"off",1,1,2,0
1,2,1,0.278,1,2,99,"off",1,2,3,0
2,1,0,-0.535,2,1,99,"off",1,1,3,0
1,2,1,0.276,3,2,99,"off",1,1,2,0
1,2,1,0.283,2,2,100,"off",1,1,3,0
2,1,0,-0.353,1,1,100,"off",1,2,3,0
1,2,1,0.277,3,2,100,"off",1,1,2,0
2,1,1,-1.042,3,2,101,"off",1,1,2,0
1,2,1,0.918,2,2,101,"off",1,1,3,0
1,2,1,0.79,1,2,101,"off",1,2,3,0
1,2,0,0.867,1,1,102,"off",1,2,3,0
1,2,0,0.451,3,1,102,"off",1,1,2,0
1,2,1,0.496,2,2,102,"off",1,1,3,0
2,1,0,-0.557,2,1,103,"off",1,1,3,0
1,2,0,0.534,1,1,103,"off",1,2,3,0
1,2,1,0.575,3,2,103,"off",1,1,2,0
1,2,1,0.586,2,2,104,"off",1,1,3,0
1,2,1,0.555,1,2,104,"off",1,2,3,0
1,2,1,0.413,3,2,104,"off",1,1,2,0
1,2,0,0.45,2,1,105,"off",1,1,3,0
1,2,1,0.498,3,2,105,"off",1,1,2,0
1,2,0,0.6,1,1,105,"off",1,2,3,0
1,2,1,0.53,2,2,106,"off",1,1,3,0
1,2,1,0.587,1,2,106,"off",1,2,3,0
1,2,0,0.368,3,1,106,"off",1,1,2,0
1,2,1,0.661,1,2,107,"off",1,2,3,0
1,2,1,0.593,3,2,107,"off",1,1,2,0
1,2,1,0.582,2,2,107,"off",1,1,3,0
1,2,0,0.465,3,1,108,"off",1,1,2,0
1,2,0,0.691,1,1,108,"off",1,2,3,0
1,2,1,0.472,2,2,108,"off",1,1,3,0
1,2,0,0.479,3,1,109,"off",1,1,2,0
1,2,1,0.503,1,2,109,"off",1,2,3,0
2,1,0,-0.502,2,1,109,"off",1,1,3,0
2,1,0,-0.653,3,1,110,"off",1,1,2,0
1,2,1,0.509,2,2,110,"off",1,1,3,0
1,2,1,0.583,1,2,110,"off",1,2,3,0
2,1,0,-1.226,3,1,111,"off",1,1,2,0
1,2,1,0.79,1,2,111,"off",1,2,3,0
1,2,1,0.58,2,2,111,"off",1,1,3,0
1,2,1,0.562,3,2,112,"off",1,1,2,0
1,2,1,0.644,1,2,112,"off",1,2,3,0
1,2,1,0.514,2,2,112,"off",1,1,3,0
1,2,1,0.558,2,2,113,"off",1,1,3,0
2,1,1,-0.556,3,2,113,"off",1,1,2,0
1,2,1,0.706,1,2,113,"off",1,2,3,0
1,2,0,0.554,2,1,114,"off",1,1,3,0
2,1,0,-0.466,1,1,114,"off",1,2,3,0
1,2,1,0.522,3,2,114,"off",1,1,2,0
2,1,0,-1.594,3,1,115,"off",1,1,2,0
1,2,1,0.613,2,2,115,"off",1,1,3,0
1,2,1,0.579,1,2,115,"off",1,2,3,0
1,2,1,0.795,1,2,116,"off",1,2,3,0
1,2,1,1.129,3,2,116,"off",1,1,2,0
1,2,1,0.735,2,2,116,"off",1,1,3,0
2,1,0,-1.351,3,1,117,"off",1,1,2,0
1,2,1,0.757,1,2,117,"off",1,2,3,0
1,2,1,1.111,2,2,117,"off",1,1,3,0
1,2,1,1.136,2,2,118,"off",1,1,3,0
1,2,0,1.399,1,1,118,"off",1,2,3,0
1,2,1,1.239,3,2,118,"off",1,1,2,0
1,2,0,0.643,3,1,119,"off",1,1,2,0
1,2,0,0.827,1,1,119,"off",1,2,3,0
1,2,0,0.805,2,1,119,"off",1,1,3,0
1,2,1,0.801,1,2,120,"off",1,2,3,0
1,2,1,0.548,2,2,120,"off",1,1,3,0
1,2,1,0.736,3,2,120,"off",1,1,2,0
1,2,0,2.234,1,1,1,"off",2,2,3,0
1,2,1,0.766,3,2,1,"off",2,1,2,0
1,2,1,0.667,2,2,1,"off",2,1,3,0
1,2,0,0.67,1,1,2,"off",2,2,3,0
2,1,0,-0.811,3,1,2,"off",2,1,2,0
1,2,0,0.844,2,1,2,"off",2,1,3,0
1,2,1,0.772,3,2,3,"off",2,1,2,0
1,2,1,1.077,2,2,3,"off",2,1,3,0
1,2,1,0.892,1,2,3,"off",2,2,3,0
1,2,0,0.827,2,1,4,"off",2,1,3,0
2,1,0,-0.776,3,1,4,"off",2,1,2,0
1,2,1,1.119,1,2,4,"off",2,2,3,0
1,2,0,0.938,2,1,5,"off",2,1,3,0
2,1,1,-0.802,3,2,5,"off",2,1,2,0
1,2,1,1.156,1,2,5,"off",2,2,3,0
2,1,0,-0.876,3,1,6,"off",2,1,2,0
2,1,0,-1.205,2,1,6,"off",2,1,3,0
1,2,1,0.837,1,2,6,"off",2,2,3,0
2,1,0,-0.885,2,1,7,"off",2,1,3,0
1,2,1,0.761,1,2,7,"off",2,2,3,0
2,1,1,-0.786,3,2,7,"off",2,1,2,0
1,2,0,0.887,2,1,8,"off",2,1,3,0
2,1,0,-1.064,3,1,8,"off",2,1,2,0
1,2,1,0.742,1,2,8,"off",2,2,3,0
2,1,1,-1.211,3,2,9,"off",2,1,2,0
1,2,1,0.869,2,2,9,"off",2,1,3,0
1,2,1,0.923,1,2,9,"off",2,2,3,0
1,2,1,1.207,1,2,10,"off",2,2,3,0
1,2,0,1.084,2,1,10,"off",2,1,3,0
2,1,0,-0.94,3,1,10,"off",2,1,2,0
1,2,1,1.384,2,2,11,"off",2,1,3,0
2,1,0,-0.818,3,1,11,"off",2,1,2,0
1,2,0,1.129,1,1,11,"off",2,2,3,0
2,1,0,-0.982,1,1,12,"off",2,2,3,0
2,1,0,-0.936,2,1,12,"off",2,1,3,0
1,2,1,0.805,3,2,12,"off",2,1,2,0
1,2,1,1.149,3,2,13,"off",2,1,2,0
2,1,0,-0.852,2,1,13,"off",2,1,3,0
2,1,0,-1.046,1,1,13,"off",2,2,3,0
1,2,1,1.075,2,2,14,"off",2,1,3,0
1,2,1,0.788,3,2,14,"off",2,1,2,0
1,2,1,1.321,1,2,14,"off",2,2,3,0
1,2,0,2.034,1,1,15,"off",2,2,3,0
1,2,1,0.895,3,2,15,"off",2,1,2,0
1,2,1,1.548,2,2,15,"off",2,1,3,0
1,2,1,1.292,1,2,16,"off",2,2,3,0
1,2,0,1.411,3,1,16,"off",2,1,2,0
1,2,1,1.427,2,2,16,"off",2,1,3,0
2,1,0,-1.579,3,1,17,"off",2,1,2,0
1,2,0,1.006,2,1,17,"off",2,1,3,0
1,2,1,0.986,1,2,17,"off",2,2,3,0
2,1,0,-1.486,2,1,18,"off",2,1,3,0
2,1,0,-1.086,3,1,18,"off",2,1,2,0
2,1,1,-0.673,1,2,18,"off",2,2,3,0
2,1,0,-1.238,3,1,19,"off",2,1,2,0
2,1,0,-2.267,1,1,19,"off",2,2,3,0
2,1,0,-0.669,2,1,19,"off",2,1,3,0
2,1,0,-0.769,3,1,20,"off",2,1,2,0
1,2,1,0.22,2,2,20,"off",2,1,3,0
2,1,0,-0.862,1,1,21,"off",2,2,3,0
2,1,0,-0.738,3,1,21,"off",2,1,2,0
2,1,1,-0.772,2,2,21,"off",2,1,3,0
1,2,1,1.018,3,2,22,"off",2,1,2,0
2,1,1,-0.817,1,2,22,"off",2,2,3,0
2,1,0,-0.984,2,1,22,"off",2,1,3,0
1,2,0,0.938,3,1,23,"off",2,1,2,0
1,2,1,0.932,2,2,23,"off",2,1,3,0
2,1,0,-0.951,1,1,23,"off",2,2,3,0
2,1,1,-1.025,1,2,24,"off",2,2,3,0
1,2,1,1.129,2,2,24,"off",2,1,3,0
1,2,1,1.503,3,2,24,"off",2,1,2,0
1,2,1,1.845,1,2,25,"off",2,2,3,0
2,1,0,-1.22,3,1,25,"off",2,1,2,0
1,2,1,1.771,2,2,25,"off",2,1,3,0
1,2,0,1.341,2,1,26,"off",2,1,3,0
2,1,0,-1.029,3,1,26,"off",2,1,2,0
2,1,0,-1.208,1,1,26,"off",2,2,3,0
1,2,1,1.099,3,2,27,"off",2,1,2,0
1,2,1,1.483,2,2,27,"off",2,1,3,0
2,1,0,-1.022,1,1,27,"off",2,2,3,0
1,2,1,1.332,2,2,28,"off",2,1,3,0
1,2,1,1.485,3,2,28,"off",2,1,2,0
1,2,1,2.137,1,2,28,"off",2,2,3,0
1,2,0,1.723,2,1,29,"off",2,1,3,0
1,2,0,1.493,3,1,29,"off",2,1,2,0
1,2,1,0.59,1,2,29,"off",2,2,3,0
1,2,0,0.74,3,1,30,"off",2,1,2,0
2,1,0,-0.305,2,1,30,"off",2,1,3,0
1,2,1,0.737,1,2,30,"off",2,2,3,0
1,2,0,0.679,1,1,31,"off",2,2,3,0
1,2,0,0.206,2,1,31,"off",2,1,3,0
2,1,0,-0.743,3,1,31,"off",2,1,2,0
1,2,1,0.248,1,2,32,"off",2,2,3,0
2,1,1,-1.242,3,2,32,"off",2,1,2,0
2,1,1,-0.893,2,2,32,"off",2,1,3,0
2,1,0,-1.131,3,1,33,"off",2,1,2,0
2,1,0,-0.719,2,1,33,"off",2,1,3,0
1,2,1,1.752,1,2,33,"off",2,2,3,0
2,1,0,-0.841,1,1,34,"off",2,2,3,0
2,1,1,-0.49,2,2,34,"off",2,1,3,0
2,1,1,-0.998,3,2,34,"off",2,1,2,0
2,1,0,-1.389,2,1,35,"off",2,1,3,0
2,1,0,-1.276,3,1,35,"off",2,1,2,0
1,2,1,1.026,1,2,35,"off",2,2,3,0
1,2,0,0.787,3,1,36,"off",2,1,2,0
1,2,1,1.023,1,2,36,"off",2,2,3,0
2,1,0,-0.609,2,1,36,"off",2,1,3,0
2,1,0,-0.723,3,1,37,"off",2,1,2,0
2,1,0,-0.267,1,1,37,"off",2,2,3,0
1,2,1,0.215,2,2,37,"off",2,1,3,0
2,1,0,-0.501,2,1,38,"off",2,1,3,0
1,2,1,0.696,1,2,38,"off",2,2,3,0
1,2,1,0.737,3,2,38,"off",2,1,2,0
2,1,0,-0.252,1,1,39,"off",2,2,3,0
1,2,0,0.391,2,1,40,"off",2,1,3,0
1,2,1,0.709,1,2,40,"off",2,2,3,0
1,2,0,0.813,3,1,40,"off",2,1,2,0
1,2,1,1.128,2,2,41,"off",2,1,3,0
2,1,1,-1.694,3,2,41,"off",2,1,2,0
1,2,0,0.928,1,1,41,"off",2,2,3,0
1,2,1,1.017,1,2,42,"off",2,2,3,0
1,2,1,0.745,2,2,42,"off",2,1,3,0
1,2,1,1.435,3,2,42,"off",2,1,2,0
1,2,1,1.634,1,2,43,"off",2,2,3,0
1,2,1,1.126,3,2,43,"off",2,1,2,0
1,2,1,0.918,2,2,43,"off",2,1,3,0
1,2,0,0.813,2,1,44,"off",2,1,3,0
2,1,0,-1.379,3,1,44,"off",2,1,2,0
2,1,0,-1.308,1,1,44,"off",2,2,3,0
2,1,0,-1.631,3,1,45,"off",2,1,2,0
2,1,0,-1.167,1,1,45,"off",2,2,3,0
2,1,0,-0.959,2,1,45,"off",2,1,3,0
2,1,0,-0.797,1,1,46,"off",2,2,3,0
2,1,0,-0.238,2,1,46,"off",2,1,3,0
2,1,1,-0.375,3,2,47,"off",2,1,2,0
1,2,1,0.749,1,2,47,"off",2,2,3,0
1,2,1,0.49,2,2,47,"off",2,1,3,0
1,2,1,1.722,1,2,48,"off",2,2,3,0
2,1,0,-0.826,2,1,48,"off",2,1,3,0
1,2,0,1.024,3,1,48,"off",2,1,2,0
1,2,1,0.794,1,2,49,"off",2,2,3,0
2,1,0,-1.311,3,1,49,"off",2,1,2,0
1,2,1,1.073,2,2,49,"off",2,1,3,0
2,1,0,-0.657,3,1,50,"off",2,1,2,0
1,2,1,0.755,2,2,50,"off",2,1,3,0
1,2,0,0.918,1,1,50,"off",2,2,3,0
1,2,1,2.294,1,2,51,"off",2,2,3,0
1,2,1,1.26,3,2,51,"off",2,1,2,0
2,1,0,-1.211,2,1,51,"off",2,1,3,0
1,2,1,1.254,3,2,52,"off",2,1,2,0
2,1,0,-1.302,1,1,52,"off",2,2,3,0
